Date,Speaker ID,Sex,Parliament,Party,Speech Count
2024-05-14,#NicholasSmith,M,House of Commons,Labour,1
2024-05-14,#LindsayHoyle,M,House of Commons,Labour,3
2024-05-14,#TasminaAhmedSheikh,F,House of Commons,Scottish National Party,2
2024-05-14,#TobiasEllwood,M,House of Commons,Conservative,31
2024-05-14,#JohnBercow,M,House of Commons,Conservative,3
2024-05-14,#RobertStewart,M,House of Commons,Conservative,1
2024-05-14,#EmilyThornberry,F,House of Commons,Labour,1
2024-05-14,#MichaelGove,M,House of Commons,Conservative,1
2024-05-14,#StephenTwigg,M,House of Commons,Labour,1
2024-05-14,#DesmondSwayne,M,House of Commons,Conservative,1
2024-05-14,#AlexanderSalmond,M,House of Commons,Scottish National Party,1
2024-05-14,#FeliciaDrummond,F,House of Commons,Conservative,1
2024-05-14,#JohnSpellar,M,House of Commons,Labour,1
2024-05-14,#JeremyLefroy,M,House of Commons,Conservative,1
2024-05-14,#ThomasBrake,M,House of Commons,Liberal Democrat,1
2024-05-14,#ChristopherDavies,M,House of Commons,Conservative,1
2024-05-14,#AnnClwyd,F,House of Commons,Labour,1
2024-05-14,#NigelHuddleston,M,House of Commons,Conservative,1
2024-05-14,#LizSavilleRoberts,F,House of Commons,Plaid Cymru,1
2024-05-14,#PhilipHollobone,M,House of Commons,Conservative,1
2024-05-14,#AlisonMcGovern,F,House of Commons,Labour,1
2024-05-14,#RobertCourts,M,House of Commons,Conservative,1
2024-05-14,#PatrickGrady,M,House of Commons,Scottish National Party,1
2024-05-14,#ThomasPursglove,M,House of Commons,Conservative,1
2024-05-14,#MichaelGapes,M,House of Commons,Labour,1
2024-05-14,#PeterGrant,M,House of Commons,Scottish National Party,1
2024-05-14,#StephenDoughty,M,House of Commons,Labour,1
2024-05-14,#NicholasSmith,M,House of Commons,Labour,1
2024-05-14,#MargaretFerrier,F,House of Commons,Scottish National Party,1
2024-05-14,#DianaJohnson,F,House of Commons,Labour,1
2024-05-14,#RichardShannon,M,House of Commons,Democratic Unionist Party,1
2024-05-14,#GrahamJones,M,House of Commons,Labour,1
2024-05-14,#NicklausThomasSymonds,M,House of Commons,Labour,1
2024-05-14,#HannahBardell,F,House of Commons,Scottish National Party,2
2024-05-14,#PeterGrant,M,House of Commons,Scottish National Party,2
2024-05-14,#HarriettBaldwin,F,House of Commons,Conservative,6
2024-05-14,#DanielZeichner,M,House of Commons,Labour,1
2024-05-14,#MargaretFerrier,F,House of Commons,Scottish National Party,1
2024-05-14,#FabianHamilton,M,House of Commons,Labour,1
2024-05-14,#JohnBercow,M,House of Commons,Conservative,1
2024-05-14,#KeithVaz,M,House of Commons,Labour,6
2024-05-14,#StephenDoughty,M,House of Commons,Labour,3
2024-05-14,#GeorgeKerevan,M,House of Commons,Scottish National Party,3
2024-05-14,#JamesHowarth,M,House of Commons,Conservative,3
2024-05-14,#EleanorLaing,F,House of Commons,Conservative,3
2024-05-14,#AndrewMitchell,M,House of Commons,Conservative,7
2024-05-14,#StephenTwigg,M,House of Commons,Labour,3
2024-05-14,#JamesCunningham,M,House of Commons,Labour,1
2024-05-14,#SeemaKennedy,F,House of Commons,Conservative,4
2024-05-14,#GrahamJones,M,House of Commons,Labour,4
2024-05-14,#AlisonThewliss,F,House of Commons,Scottish National Party,3
2024-05-14,#BrendanOHara,M,House of Commons,Scottish National Party,1
2024-05-14,#FeliciaDrummond,F,House of Commons,Conservative,2
2024-05-14,#CliveLewis,M,House of Commons,Labour,2
2024-05-14,#TobiasEllwood,M,House of Commons,Conservative,5
2024-05-14,#ChristopherEvans,M,House of Commons,Labour,3
2024-05-14,#GillianFurniss,F,House of Commons,Labour,1
2024-05-14,#MargaretFerrier,F,House of Commons,Scottish National Party,1
2024-05-14,#DouglasChapman,M,House of Commons,Scottish National Party,2
2024-05-14,#EmilyThornberry,F,House of Commons,Labour,2
2024-05-14,#StephenTwigg,M,House of Commons,Labour,2
2024-05-14,#AlistairBurt,M,House of Commons,Conservative,15
2024-05-14,#PaulineLatham,F,House of Commons,Conservative,1
2024-05-14,#KateOsamor,F,House of Commons,Labour,1
2024-05-14,#JulianLewis,M,House of Commons,Conservative,1
2024-05-14,#StewartMcDonald,M,House of Commons,Scottish National Party,1
2024-05-14,#CrispinBlunt,M,House of Commons,Conservative,1
2024-05-14,#JohnWoodcock,M,House of Commons,Labour,1
2024-05-14,#ThomasTugendhat,M,House of Commons,Conservative,1
2024-05-14,#AnnClwyd,F,House of Commons,Labour,1
2024-05-14,#MiriamDavies,F,House of Commons,Conservative,1
